index,date,value
index,1993-01-01,.
index,1992-12-01,.
index,1992-11-01,.
index,1992-10-01,.
index,1992-09-01,.
index,1992-08-01,.
index,1992-07-01,.
index,1992-06-01,.
index,1992-05-01,.
index,1992-04-01,.
index,1992-03-01,.
index,1992-02-01,.
index,1992-01-01,.
